name,genotype,farm,cell,longitude,latitude,X_epsg102022,Y_epsg102022,tick,cape,cattle,bio5,ECF
140,0,147,11,-0.7941421455723434,0.8865605258465723,-0.7907585639249181,0.8902864059299308,-0.6433720738860269,-0.3199519625251079,-0.4689182903619358,0.5256615375373384,0
466,0,56,42,0.7823745260309393,-0.492338837074659,0.7789230089254426,-0.4947353764748645,1.6456284235666514,0.2675458288146755,0.1905146321239251,-0.2370559366294354,0
36,0,85,3,-1.558964084958858,-1.6794445958853856,-1.5608111727794294,-1.6785241992182414,-0.5147405774738194,-0.0327918332136639,2.3130317383176737,-2.0413286737791894,0
292,1,154,27,0.1288873822142759,0.51745270413571,0.1301314768902498,0.5185338249956036,-0.3938581467250757,-0.0243619969811197,0.1137771421144058,0.6394813837695222,0
220,1,152,19,-0.5771049688818266,0.8574779351347945,-0.5740120387043586,0.8606608161757343,-0.5595369644288058,-0.091029460032431,-0.7119488681061703,1.0329338892701154,0
419,0,163,39,0.8177186863434668,0.5970383461861972,0.8184538896426827,0.5960157715994647,-0.6640922833211451,-0.3256775259151399,-0.3638301342379466,0.802432021763033,0
416,0,162,39,1.0326426717374542,0.7565956501488605,1.0337786122174544,0.7549257888587803,-0.6592390903142203,-0.326330679545472,-0.6257392461640193,0.7480692811580256,0
160,0,36,14,-0.6446649376855459,-0.5629367714020473,-0.6456654306429468,-0.5613341270498081,-0.2856024948314011,-0.3013815712755065,-0.0730010481380184,-1.0877264344637552,0
324,0,45,30,0.213857008725668,-0.6615029372178471,0.2108722147497649,-0.6624600951142243,2.678217029839438,-0.2912744749072715,-0.6788630506618762,-0.786422007713528,0
175,0,76,15,-0.9385849859585844,-1.3129733626637958,-0.941075619745072,-1.3124173274772772,-0.4317177206194646,0.0032607972044403,1.4430736305739251,-1.1810582505417548,0
15,0,63,2,-1.644763795110261,-0.9630791333139828,-1.6447618974767968,-0.9601535796578374,0.98909205366348,0.689010044449302,-0.6843624892907836,-0.4192815327557389,0
